daysPostSettlement,date,timePoint,rackNumber,plugNumber,plugColor,trainedEyeCounts,untrainedEyeCounts,taglabCount
0,2023-08-18,0,1,1,pink ,15,15,8
0,2023-08-18,0,1,2,pink ,2,2,1
0,2023-08-18,0,1,3,pink ,3,3,2
0,2023-08-18,0,1,4,pink ,6,7,5
0,2023-08-18,0,1,5,pink ,2,1,1
0,2023-08-18,0,1,6,pink ,1,1,1
0,2023-08-18,0,1,7,pink ,3,4,2
0,2023-08-18,0,1,8,pink ,8,10,8
0,2023-08-18,0,1,9,pink ,0,0,0
0,2023-08-18,0,1,10,pink ,3,3,4
0,2023-08-18,0,1,11,pink ,0,0,0
0,2023-08-18,0,1,12,pink ,3,2,2
0,2023-08-18,0,1,13,pink ,3,3,2
0,2023-08-18,0,1,14,pink ,1,1,0
0,2023-08-18,0,1,15,pink ,1,1,1
0,2023-08-18,0,1,16,pink ,2,3,2
0,2023-08-18,0,1,17,pink ,0,0,0
0,2023-08-18,0,1,18,pink ,1,2,1
0,2023-08-18,0,1,19,pink ,4,4,4
0,2023-08-18,0,1,20,pink ,6,6,3
0,2023-08-18,0,1,21,pink ,3,4,4
0,2023-08-18,0,1,22,pink ,3,3,4
0,2023-08-18,0,1,23,pink ,1,1,1
0,2023-08-18,0,1,24,pink ,4,3,3
0,2023-08-18,0,1,25,pink ,7,8,7
0,2023-08-18,0,1,26,pink ,0,0,0
0,2023-08-18,0,1,27,pink ,3,3,1
0,2023-08-18,0,1,28,pink ,18,18,12
0,2023-08-18,0,1,29,pink ,7,7,7
0,2023-08-18,0,1,30,pink ,1,1,1
0,2023-08-18,0,1,31,pink ,0,0,1
0,2023-08-18,0,1,32,pink ,1,1,2
0,2023-08-18,0,1,33,pink ,12,11,7
0,2023-08-18,0,1,34,pink ,0,0,0
0,2023-08-18,0,1,35,pink ,13,15,12
0,2023-08-18,0,1,36,pink ,5,5,4
0,2023-08-18,0,1,37,pink ,0,0,0
0,2023-08-18,0,1,38,pink ,3,3,2
0,2023-08-18,0,1,39,pink ,8,8,5
0,2023-08-18,0,1,40,pink ,7,7,6
0,2023-08-18,0,1,41,pink ,9,9,8
0,2023-08-18,0,1,42,pink ,2,2,1
0,2023-08-18,0,1,43,pink ,7,7,7
